nivel_tiempo,anio,subperiodo,total_sismos,magnitud_maxima
mensual,1986,7,7,6.0
mensual,1986,8,5,5.0
mensual,1986,9,11,5.7
mensual,1986,10,15,5.4
mensual,1986,11,7,5.8
mensual,1986,12,3,4.6
mensual,1987,1,9,5.0
mensual,1987,2,15,5.5
mensual,1987,3,1,4.9
mensual,1987,4,9,5.0
mensual,1987,5,1,4.8
mensual,1987,6,1,4.6
mensual,1987,7,15,6.0
mensual,1987,8,19,5.3
mensual,1987,10,20,5.3
mensual,1987,11,5,6.5
mensual,1987,12,4,4.5
mensual,1988,1,154,5.3
mensual,1988,2,117,5.5
mensual,1988,3,156,5.1
mensual,1988,4,102,5.4
mensual,1988,5,92,5.1
mensual,1988,6,87,6.6
mensual,1988,7,75,5.4
mensual,1988,8,61,5.9
mensual,1988,9,62,5.3
mensual,1988,10,57,5.1
mensual,1988,11,90,6.6
mensual,1988,12,74,5.0
mensual,1989,1,64,5.3
mensual,1989,2,95,5.1
mensual,1989,3,89,5.3
mensual,1989,4,91,6.8
mensual,1989,5,118,5.2
mensual,1989,6,72,5.0
mensual,1989,7,79,5.1
mensual,1989,8,89,6.5
mensual,1989,9,90,5.9
mensual,1989,10,75,5.3
mensual,1989,11,82,5.1
mensual,1989,12,86,5.4
mensual,1990,1,89,5.8
mensual,1990,2,88,5.3
mensual,1990,3,88,6.1
mensual,1990,4,77,5.1
mensual,1990,5,56,5.8
mensual,1990,6,53,4.9
mensual,1990,7,53,5.0
mensual,1990,8,65,5.1
mensual,1990,9,49,4.9
mensual,1990,10,53,5.0
mensual,1990,11,64,5.0
mensual,1990,12,60,6.2
mensual,1991,1,66,5.2
mensual,1991,2,78,5.5
mensual,1991,3,52,5.5
mensual,1991,4,95,5.5
mensual,1991,5,64,5.1
mensual,1991,6,69,6.1
mensual,1991,7,48,5.4
mensual,1991,8,49,5.0
mensual,1991,9,34,5.3
mensual,1991,10,53,4.9
mensual,1991,11,53,5.7
mensual,1991,12,63,5.4
mensual,1992,1,32,5.1
mensual,1992,2,52,5.6
mensual,1992,3,54,5.2
mensual,1992,4,49,5.1
mensual,1992,5,67,5.5
mensual,1992,6,65,5.3
mensual,1992,7,38,4.6
mensual,1992,8,50,5.3
mensual,1992,9,45,4.9
mensual,1992,10,47,5.2
mensual,1992,11,70,5.2
mensual,1992,12,44,5.3
mensual,1993,1,34,4.9
mensual,1993,2,43,5.0
mensual,1993,3,63,5.8
mensual,1993,4,81,4.8
mensual,1993,5,60,6.0
mensual,1993,6,79,5.2
mensual,1993,7,58,5.0
mensual,1993,8,58,5.1
mensual,1993,9,184,7.2
mensual,1993,10,122,6.6
mensual,1993,11,52,5.8
mensual,1993,12,81,4.9
mensual,1994,1,30,4.9
mensual,1994,2,72,5.4
mensual,1994,3,72,6.8
mensual,1994,4,48,5.5
mensual,1994,5,51,5.8
mensual,1994,6,55,4.9
mensual,1994,7,44,6.1
mensual,1994,8,54,5.4
mensual,1994,9,39,5.1
mensual,1994,10,41,5.6
mensual,1994,11,50,4.9
mensual,1994,12,66,6.6
mensual,1995,1,57,5.2
mensual,1995,2,36,4.9
mensual,1995,3,28,5.0
mensual,1995,4,42,4.9
mensual,1995,5,17,5.3
mensual,1995,6,29,6.5
mensual,1995,7,24,4.9
mensual,1995,8,35,6.5
mensual,1995,9,139,7.3
mensual,1995,10,141,8.0
mensual,1995,11,72,5.3
mensual,1995,12,58,6.2
mensual,1996,1,48,5.3
mensual,1996,2,104,7.1
mensual,1996,3,88,6.0
mensual,1996,4,68,5.6
mensual,1996,5,85,5.3
mensual,1996,6,80,5.0
mensual,1996,7,70,6.6
mensual,1996,8,41,4.9
mensual,1996,9,44,5.1
mensual,1996,10,66,5.3
mensual,1996,11,44,5.0
mensual,1996,12,51,5.6
mensual,1997,1,70,7.1
mensual,1997,2,84,5.0
mensual,1997,3,81,4.9
mensual,1997,4,90,5.1
mensual,1997,5,111,6.9
mensual,1997,6,72,4.6
mensual,1997,7,142,6.7
mensual,1997,8,90,5.1
mensual,1997,9,70,5.3
mensual,1997,10,82,4.9
mensual,1997,11,52,5.5
mensual,1997,12,62,6.1
mensual,1998,1,91,6.6
mensual,1998,2,95,6.4
mensual,1998,3,134,6.7
mensual,1998,4,60,5.9
mensual,1998,5,75,6.4
mensual,1998,6,85,6.2
mensual,1998,7,84,5.6
mensual,1998,8,65,5.2
mensual,1998,9,79,4.5
mensual,1998,10,89,5.0
mensual,1998,11,99,5.5
mensual,1998,12,66,5.1
mensual,1999,1,63,4.9
mensual,1999,2,80,5.1
mensual,1999,3,94,5.1
mensual,1999,4,103,5.1
mensual,1999,5,90,6.4
mensual,1999,6,117,7.0
mensual,1999,7,110,5.1
mensual,1999,8,74,5.1
mensual,1999,9,68,7.4
mensual,1999,10,102,5.0
mensual,1999,11,89,5.6
mensual,1999,12,108,6.1
mensual,2000,1,68,5.0
mensual,2000,2,94,5.6
mensual,2000,3,109,5.9
mensual,2000,4,82,5.1
mensual,2000,5,100,4.9
mensual,2000,6,115,5.4
mensual,2000,7,81,6.0
mensual,2000,8,108,7.0
mensual,2000,9,79,4.8
mensual,2000,10,59,5.8
mensual,2000,11,60,4.9
mensual,2000,12,88,6.0
mensual,2001,1,60,6.3
mensual,2001,2,72,5.1
mensual,2001,3,35,5.3
mensual,2001,4,65,6.2
mensual,2001,5,97,6.5
mensual,2001,6,71,5.3
mensual,2001,7,103,5.0
mensual,2001,8,95,5.5
mensual,2001,9,81,5.4
mensual,2001,10,222,6.1
mensual,2001,11,268,6.4
mensual,2001,12,166,5.7
mensual,2002,1,159,6.7
mensual,2002,2,151,5.8
mensual,2002,3,133,5.4
mensual,2002,4,166,6.5
mensual,2002,5,152,5.1
mensual,2002,6,133,5.6
mensual,2002,7,91,4.8
mensual,2002,8,165,5.3
mensual,2002,9,123,5.4
mensual,2002,10,149,6.2
mensual,2002,11,129,5.8
mensual,2002,12,137,5.5
mensual,2003,1,182,7.6
mensual,2003,2,135,5.8
mensual,2003,3,162,6.5
mensual,2003,4,129,4.9
mensual,2003,5,110,6.2
mensual,2003,6,98,4.6
mensual,2003,7,79,5.4
mensual,2003,8,94,5.5
mensual,2003,9,76,4.8
mensual,2003,10,90,4.7
mensual,2003,11,100,5.9
mensual,2003,12,68,4.7
mensual,2004,1,131,6.3
mensual,2004,2,124,5.7
mensual,2004,3,84,5.1
mensual,2004,4,100,5.2
mensual,2004,5,109,5.4
mensual,2004,6,121,6.4
mensual,2004,7,112,4.9
mensual,2004,8,119,5.9
mensual,2004,9,115,5.6
mensual,2004,10,99,4.7
mensual,2004,11,124,6.0
mensual,2004,12,108,5.4
mensual,2005,1,80,5.3
mensual,2005,2,99,5.6
mensual,2005,3,102,5.2
mensual,2005,4,107,5.2
mensual,2005,5,101,5.9
mensual,2005,6,111,5.9
mensual,2005,7,103,4.7
mensual,2005,8,108,5.8
mensual,2005,9,98,5.0
mensual,2005,10,101,4.9
mensual,2005,11,107,4.9
mensual,2005,12,93,5.0
mensual,2006,1,87,6.6
mensual,2006,2,80,5.0
mensual,2006,3,126,5.2
mensual,2006,4,115,5.6
mensual,2006,5,115,5.1
mensual,2006,6,112,5.6
mensual,2006,7,131,5.3
mensual,2006,8,118,5.2
mensual,2006,9,117,5.7
mensual,2006,10,117,5.1
mensual,2006,11,113,5.6
mensual,2006,12,125,4.7
mensual,2007,1,129,5.3
mensual,2007,2,139,5.2
mensual,2007,3,166,5.8
mensual,2007,4,156,5.6
mensual,2007,5,108,5.4
mensual,2007,6,97,5.0
mensual,2007,7,122,6.2
mensual,2007,8,112,5.1
mensual,2007,9,111,6.3
mensual,2007,10,117,5.2
mensual,2007,11,135,5.6
mensual,2007,12,136,4.7
mensual,2008,1,138,5.3
mensual,2008,2,152,6.5
mensual,2008,3,206,5.5
mensual,2008,4,181,5.7
mensual,2008,5,165,4.8
mensual,2008,6,145,5.1
mensual,2008,7,159,5.1
mensual,2008,8,142,4.9
mensual,2008,9,168,6.4
mensual,2008,10,179,6.6
mensual,2008,11,172,4.8
mensual,2008,12,151,4.6
mensual,2009,1,170,5.5
mensual,2009,2,161,4.8
mensual,2009,3,196,5.3
mensual,2009,4,172,5.7
mensual,2009,5,220,5.7
mensual,2009,6,164,5.6
mensual,2009,7,181,5.4
mensual,2009,8,208,6.5
mensual,2009,9,187,5.6
mensual,2009,10,221,5.5
mensual,2009,11,206,5.1
mensual,2009,12,215,5.7
mensual,2010,1,195,5.6
mensual,2010,2,206,5.8
mensual,2010,3,200,5.4
mensual,2010,4,559,7.2
mensual,2010,5,406,5.0
mensual,2010,6,323,6.0
mensual,2010,7,267,4.8
mensual,2010,8,226,6.1
mensual,2010,9,267,5.5
mensual,2010,10,288,6.5
mensual,2010,11,257,5.0
mensual,2010,12,268,5.5
mensual,2011,1,311,5.5
mensual,2011,2,290,6.0
mensual,2011,3,378,5.3
mensual,2011,4,442,6.7
mensual,2011,5,367,5.5
mensual,2011,6,374,5.2
mensual,2011,7,458,5.9
mensual,2011,8,394,5.6
mensual,2011,9,324,5.1
mensual,2011,10,330,4.7
mensual,2011,11,315,6.2
mensual,2011,12,288,6.5
mensual,2012,1,431,6.0
mensual,2012,2,315,5.3
mensual,2012,3,481,7.5
mensual,2012,4,564,6.8
mensual,2012,5,471,6.1
mensual,2012,6,327,5.3
mensual,2012,7,414,5.7
mensual,2012,8,351,5.6
mensual,2012,9,415,6.0
mensual,2012,10,442,5.7
mensual,2012,11,637,7.3
mensual,2012,12,395,6.4
mensual,2013,1,332,5.5
mensual,2013,2,413,5.6
mensual,2013,3,398,6.1
mensual,2013,4,432,5.9
mensual,2013,5,438,5.3
mensual,2013,6,373,5.8
mensual,2013,7,391,5.3
mensual,2013,8,475,6.0
mensual,2013,9,582,6.0
mensual,2013,10,473,6.3
mensual,2013,11,490,5.4
mensual,2013,12,564,5.2
mensual,2014,1,490,5.5
mensual,2014,2,481,4.8
mensual,2014,3,445,5.8
mensual,2014,4,556,7.2
mensual,2014,5,616,6.5
mensual,2014,6,606,5.0
mensual,2014,7,757,6.9
mensual,2014,8,837,5.4
mensual,2014,9,817,5.9
mensual,2014,10,632,6.1
mensual,2014,11,622,5.2
mensual,2014,12,748,6.1
mensual,2015,1,813,5.5
mensual,2015,2,874,6.2
mensual,2015,3,913,5.4
mensual,2015,4,1034,5.6
mensual,2015,5,875,5.5
mensual,2015,6,807,5.6
mensual,2015,7,876,5.1
mensual,2015,8,804,5.8
mensual,2015,9,967,6.6
mensual,2015,10,919,5.0
mensual,2015,11,973,5.6
mensual,2015,12,1090,6.6
mensual,2016,1,994,6.5
mensual,2016,2,809,4.8
mensual,2016,3,1149,5.3
mensual,2016,4,1340,6.6
mensual,2016,5,1519,6.0
mensual,2016,6,1302,6.1
mensual,2016,7,1521,5.4
mensual,2016,8,1563,5.0
mensual,2016,9,1159,5.3
mensual,2016,10,1400,5.6
mensual,2016,11,1429,5.0
mensual,2016,12,1362,5.1
mensual,2017,1,1247,5.1
mensual,2017,2,1164,5.0
mensual,2017,3,1370,5.5
mensual,2017,4,1043,4.7
mensual,2017,5,1361,5.7
mensual,2017,6,1426,6.9
mensual,2017,7,1429,4.9
mensual,2017,8,1561,5.3
mensual,2017,9,5845,8.2
mensual,2017,10,3804,5.5
mensual,2017,11,3241,5.6
mensual,2017,12,3072,5.2
mensual,2018,1,2586,6.3
mensual,2018,2,4316,7.2
mensual,2018,3,3165,5.3
mensual,2018,4,2430,5.5
mensual,2018,5,2487,5.1
mensual,2018,6,2711,5.9
mensual,2018,7,2228,5.9
mensual,2018,8,2060,5.3
mensual,2018,9,1786,5.3
mensual,2018,10,1820,5.4
mensual,2018,11,2186,5.4
mensual,2018,12,2632,5.1
mensual,2019,1,2626,5.8
mensual,2019,2,2298,6.5
mensual,2019,3,2758,5.3
mensual,2019,4,2116,5.5
mensual,2019,5,1913,5.8
mensual,2019,6,2117,5.6
mensual,2019,7,2102,5.3
mensual,2019,8,2048,5.8
mensual,2019,9,1856,5.0
mensual,2019,10,2219,5.3
mensual,2019,11,2128,6.4
mensual,2019,12,2261,5.8
mensual,2020,1,5203,6.0
mensual,2020,2,4106,5.7
mensual,2020,3,2263,5.6
mensual,2020,4,2034,5.2
mensual,2020,5,2015,6.2
mensual,2020,6,1953,7.4
mensual,2020,7,1825,5.7
mensual,2020,8,2321,5.9
mensual,2020,9,1966,5.2
mensual,2020,10,2156,5.5
mensual,2020,11,2062,5.0
mensual,2020,12,2226,4.8
mensual,2021,1,2610,5.8
mensual,2021,2,2161,5.0
mensual,2021,3,2214,5.7
mensual,2021,4,1946,5.0
mensual,2021,5,1932,5.0
mensual,2021,6,2452,5.4
mensual,2021,7,2347,5.6
mensual,2021,8,2026,5.4
mensual,2021,9,3196,7.1
mensual,2021,10,2340,4.7
mensual,2021,11,2847,4.9
mensual,2021,12,2959,6.0
mensual,2022,1,2462,5.4
mensual,2022,2,2369,6.2
mensual,2022,3,2190,5.7
mensual,2022,4,2356,5.0
mensual,2022,5,2263,5.0
