hora,dia_semana,mes,estacion,total_sismos,magnitud_promedio
19,Saturday,9,otono,211,3.3341232227488153
2,Sunday,3,primavera,211,3.5331753554502368
2,Monday,7,verano,211,3.518483412322275
4,Sunday,2,invierno,211,3.4066350710900473
5,Friday,12,invierno,211,3.5322274881516584
0,Sunday,11,otono,211,3.512322274881517
11,Sunday,9,otono,211,3.227488151658768
23,Tuesday,3,primavera,211,3.576777251184834
0,Monday,9,otono,210,3.350952380952381
17,Saturday,9,otono,210,3.3971428571428572
18,Sunday,10,otono,210,3.320952380952381
13,Sunday,1,invierno,210,3.4995238095238093
23,Monday,3,primavera,210,3.586666666666667
21,Friday,11,otono,210,3.5585714285714283
20,Saturday,2,invierno,210,3.5238095238095237
9,Friday,9,otono,210,3.400952380952381
21,Tuesday,10,otono,210,3.5304761904761905
6,Monday,1,invierno,210,3.5566666666666666
21,Friday,3,primavera,210,3.6066666666666665
4,Friday,2,invierno,210,3.52952380952381
1,Monday,11,otono,210,3.5552380952380953
21,Tuesday,1,invierno,209,3.521531100478469
21,Friday,10,otono,209,3.258851674641148
21,Monday,1,invierno,209,3.60622009569378
18,Tuesday,9,otono,209,3.511004784688995
5,Friday,3,primavera,209,3.6215311004784687
23,Tuesday,4,primavera,209,3.614354066985646
19,Sunday,1,invierno,209,3.583732057416268
12,Tuesday,9,otono,209,3.4143540669856463
22,Saturday,11,otono,208,3.545673076923077
6,Tuesday,2,invierno,208,3.4682692307692307
15,Tuesday,1,invierno,208,3.5326923076923076
0,Tuesday,7,verano,208,3.5653846153846156
10,Sunday,2,invierno,208,3.4615384615384617
0,Wednesday,12,invierno,208,3.4826923076923078
2,Tuesday,11,otono,208,3.4528846153846158
3,Saturday,2,invierno,208,3.5576923076923075
11,Thursday,10,otono,208,3.244230769230769
5,Saturday,7,verano,208,3.5384615384615383
22,Saturday,9,otono,207,3.3719806763285023
22,Friday,12,invierno,207,3.5917874396135265
22,Sunday,9,otono,207,3.281159420289855
3,Wednesday,3,primavera,207,3.5357487922705313
22,Friday,3,primavera,207,3.551207729468599
3,Monday,12,invierno,207,3.4096618357487922
0,Friday,11,otono,207,3.531400966183575
22,Monday,3,primavera,207,3.577777777777778
4,Monday,9,otono,207,3.368115942028986
2,Thursday,7,verano,207,3.5792270531400967
19,Friday,2,invierno,207,3.608695652173913
0,Wednesday,7,verano,207,3.5188405797101447
2,Sunday,12,invierno,206,3.529611650485437
6,Tuesday,4,primavera,206,3.562135922330097
13,Saturday,2,invierno,206,3.5315533980582523
4,Friday,11,otono,206,3.5029126213592234
23,Sunday,9,otono,206,3.4262135922330095
23,Friday,11,otono,206,3.5509708737864076
19,Tuesday,1,invierno,206,3.528155339805825
23,Wednesday,12,invierno,206,3.5432038834951456
11,Thursday,9,otono,206,3.289320388349515
8,Thursday,9,otono,206,3.3524271844660194
22,Friday,2,invierno,206,3.564563106796116
21,Tuesday,2,invierno,206,3.4800970873786405
2,Friday,5,primavera,206,3.558252427184466
4,Wednesday,2,invierno,206,3.5116504854368933
2,Saturday,4,primavera,206,3.6150485436893205
16,Saturday,12,invierno,206,3.60631067961165
5,Wednesday,2,invierno,205,3.5380487804878045
21,Thursday,12,invierno,205,3.602439024390244
4,Thursday,3,primavera,205,3.5819512195121948
18,Saturday,10,otono,205,3.168780487804878
23,Wednesday,10,otono,205,3.4409756097560975
22,Saturday,12,invierno,205,3.5253658536585366
1,Sunday,3,primavera,205,3.5546341463414635
4,Saturday,7,verano,205,3.555609756097561
1,Monday,2,invierno,205,3.479024390243903
2,Wednesday,11,otono,205,3.5609756097560976
20,Wednesday,9,otono,205,3.275121951219512
12,Sunday,1,invierno,205,3.5317073170731708
13,Monday,9,otono,205,3.5624390243902435
10,Friday,1,invierno,205,3.593170731707317
6,Thursday,12,invierno,205,3.509268292682927
20,Friday,2,invierno,205,3.4965853658536585
22,Monday,1,invierno,205,3.548780487804878
4,Monday,4,primavera,205,3.622439024390244
14,Thursday,9,otono,205,3.2404878048780485
12,Saturday,9,otono,204,3.407352941176471
3,Sunday,3,primavera,204,3.5671568627450982
1,Monday,5,primavera,204,3.6176470588235294
4,Friday,3,primavera,204,3.569607843137255
3,Monday,2,invierno,204,3.5348039215686278
18,Tuesday,1,invierno,204,3.5127450980392156
6,Saturday,10,otono,204,3.1666666666666665
10,Monday,9,otono,204,3.4088235294117646
6,Wednesday,10,otono,204,3.343137254901961
5,Tuesday,12,invierno,204,3.5656862745098037
23,Saturday,11,otono,204,3.501470588235294
1,Thursday,2,invierno,204,3.5387254901960783
4,Saturday,4,primavera,204,3.613235294117647
19,Sunday,9,otono,204,3.308333333333333
21,Saturday,10,otono,203,3.4408866995073892
3,Thursday,8,verano,203,3.5876847290640392
23,Tuesday,11,otono,203,3.4935960591133006
22,Saturday,3,primavera,203,3.5591133004926108
3,Sunday,11,otono,203,3.476354679802956
23,Saturday,1,invierno,203,3.5270935960591134
19,Saturday,1,invierno,203,3.4073891625615764
3,Tuesday,11,otono,203,3.3600985221674877
2,Friday,2,invierno,203,3.6192118226600987
8,Monday,2,invierno,203,3.4004926108374383
5,Tuesday,7,verano,203,3.601970443349754
21,Thursday,10,otono,203,3.3945812807881777
