fecha,Hora,magnitud,latitud,longitud,profundidad,estado,distancia_km,clasificacion_magnitud,Referencia de localizacion
2025-02-28,13:39:28,5.1,18.249,-99.492,52.6,GRO,12.0,moderate,"12 km al SURESTE de IGUALA, GRO "
1974-08-26,00:27:40,5.1,15.95,-91.04,33.0,CHIS,108.0,moderate,"108 km al SURESTE de LAS MARGARITAS, CHIS"
1974-02-23,00:02:53,5.1,16.08,-98.12,33.0,OAX,30.0,moderate,"30 km al SUR de PINOTEPA NACIONAL, OAX"
2023-06-15,20:03:38,5.1,15.4125,-96.5162,16.1,OAX,37.0,moderate,"37 km al SUR de S PEDRO POCHUTLA, OAX"
2023-04-18,22:55:31,5.1,17.225,-101.11,15.4,GRO,39.0,moderate,"39 km al SURESTE de PETATLAN, GRO"
1983-12-11,00:19:29,5.1,13.97,-91.67,70.0,CHIS,94.0,moderate,"94 km al SURESTE de CD HIDALGO, CHIS"
1983-12-02,05:55:22,5.1,13.92,-92.08,80.0,CHIS,84.0,moderate,"84 km al SUR de CD HIDALGO, CHIS"
1983-10-13,05:42:32,5.1,14.82,-92.29,80.0,CHIS,10.0,moderate,"10 km al SUROESTE de TAPACHULA, CHIS"
1983-10-12,07:11:57,5.1,13.19,-90.64,33.0,CHIS,232.0,moderate,"232 km al SURESTE de CD HIDALGO, CHIS"
2006-05-14,19:09:29,5.1,14.23,-92.98,26.0,CHIS,102.0,moderate,"102 km al SUROESTE de CD HIDALGO, CHIS"
2006-05-14,02:38:07,5.1,13.99,-92.75,20.0,CHIS,100.0,moderate,"100 km al SUROESTE de CD HIDALGO, CHIS"
1998-12-30,09:32:14,5.1,13.76,-92.24,29.0,CHIS,102.0,moderate,"102 km al SUR de CD HIDALGO, CHIS"
2001-02-15,16:12:20,5.1,22.97,-109.41,10.0,BCS,32.0,moderate,"32 km al SURESTE de SAN JOSE DEL CABO, BCS"
2001-01-17,19:40:46,5.1,26.5,-110.96,5.0,BCS,66.0,moderate,"66 km al NORESTE de LORETO, BCS"
2013-09-06,19:20:39,5.1,14.1497,-91.973,39.7,CHIS,62.0,moderate,"62 km al SURESTE de CD HIDALGO, CHIS"
2013-08-16,10:33:00,5.1,16.5087,-98.5793,17.4,GRO,27.0,moderate,"27 km al SUROESTE de OMETEPEC, GRO"
2014-09-13,06:27:12,5.1,14.2187,-93.7777,10.0,CHIS,165.0,moderate,"165 km al SUROESTE de MAPASTEPEC, CHIS"
2015-08-07,01:52:19,5.1,24.1483,-108.913,10.0,SIN,141.0,moderate,"141 km al SUROESTE de NAVOLATO, SIN"
2015-07-20,01:31:30,5.1,24.881,-108.681,10.0,SIN,80.0,moderate,"80 km al SUROESTE de GUASAVE, SIN"
2015-07-17,06:01:11,5.1,13.3172,-92.2697,20.0,CHIS,151.0,moderate,"151 km al SUR de CD HIDALGO, CHIS"
2015-03-15,10:25:36,5.1,13.6817,-93.0227,34.5,CHIS,145.0,moderate,"145 km al SUROESTE de CD HIDALGO, CHIS"
2015-02-28,16:06:30,5.1,13.689,-92.0138,40.0,CHIS,110.0,moderate,"110 km al SUR de CD HIDALGO, CHIS"
2015-01-03,23:16:36,5.1,16.381,-94.3417,111.3,CHIS,50.0,moderate,"50 km al NOROESTE de ARRIAGA , CHIS"
2016-03-17,05:37:57,5.1,17.3198,-94.9565,130.0,OAX,50.0,moderate,"50 km al NORTE de MATIAS ROMERO, OAX"
1974-08-12,15:27:18,5.1,17.45,-100.29,73.0,GRO,31.0,moderate,"31 km al NORESTE de ATOYAC DE ALVAREZ, GRO"
1974-06-20,01:44:46,5.1,17.17,-98.86,33.0,GRO,51.0,moderate,"51 km al SUROESTE de TLAPA, GRO"
1992-02-12,05:56:56,5.1,17.7,-101.6,78.0,GRO,8.0,moderate,"8 km al NOROESTE de ZIHUATANEJO, GRO"
